,individual,1st_photo,last_photo,bad_picture
277,SP05-ETL_220601_PR27_None_0576-F193-00,NA,NA,
278,SP05-ETL_220602_PA53_None_0582-F194-00,NA,NA,
279,SP05-ETL_220602_PA53_None_0582-F195-00,NA,NA,
280,SP05-ETL_220602_PA53_None_0582-F196-00,P1120390,NA,"pics missing, now in"
281,SP05-ETL_220602_PA53_None_0582-F196-00,P1120391,NA,"pics missing, now in"
282,SP05-ETL_220602_PA53_None_0582-F197-00,P1120393,NA,"pics missing, now in"
283,SP05-ETL_220602_PA53_None_0582-F197-00,P1120394,NA,"pics missing, now in"
284,SP05-ETL_220602_PA53_None_0582-F197-00,P1120395,NA,"pics missing, now in"
285,SP05-ETL_220602_PA53_None_0582-F197-00,P1120396,NA,"pics missing, now in"
286,SP05-ETL_220602_PA53_None_0582-F198-00,P1120401,NA,"pics missing, now in"
287,SP05-ETL_220602_PA53_None_0582-F199-00,P1120408,NA,"pics missing, now in"
288,SP05-ETL_220602_PA53_None_0582-F200-00,NA,NA,
289,SP05-ETL_220604_OG47_None_0606-F201-00,P1120500,NA,leaf out of margin
290,SP05-ETL_220604_OG47_None_0606-F201-00,P1120502,NA,square wrong selection
291,SP05-ETL_220604_OG47_None_0606-F201-00,P1120503,NA,"square wrong selection, not good pic"
292,SP05-ETL_220604_OG47_None_0606-F201-00,P1120504,NA,"square wrong, leaf not recognized"
293,SP05-ETL_220604_OG47_None_0606-F201-00,P1120505,NA,not good
294,SP05-ETL_220604_OG47_None_0606-F202-00,P1120513,NA,no square recognized
295,SP05-ETL_220604_OG47_None_0606-F203-00,P1120514,NA,one leaf not recognized
296,SP05-ETL_220604_OG47_None_0606-F204-00,P1120517,NA,margin shadow
297,SP05-ETL_220604_OG47_None_0606-F205-00,P1120518,NA,margin shadow
298,SP05-ETL_220604_OG47_None_0606-F205-00,P1120519,NA,reflection 
299,SP05-ETL_220604_OG47_None_0606-F206-00,P1120521,NA,margin shadow
300,SP05-ETL_220604_OG47_None_0606-F206-00,P1120522,NA,"leaves not recognized, shadows"
301,SP05-ETL_220604_OG47_None_0606-F207-00,P1120523,NA,"shadow, light"
302,SP05-ETL_220604_OG47_None_0606-F208-00,P1120524,NA,margin shadow
303,SP05-ETL_220604_OG47_None_0606-F209-00,P1120525,NA,margin shadow
304,SP05-ETL_220604_OG47_None_0606-F209-00,P1120526,NA,reflection 
305,SP05-ETL_220604_OG47_None_0606-F209-00,P1120527,NA,reflection 
306,SP05-ETL_220604_OG47_None_0606-F209-00,P1120528,NA,reflection 
307,SP05-ETL_220604_OG47_None_0606-F209-00,P1120529,NA,"shadwo, reflection"
308,SP05-ETL_220604_OG47_None_0606-F210-00,P1120530,NA,"shadwo, reflection"
309,SP05-ETL_220604_OG47_None_0606-F211-00,P1120532,NA,"shadwo, reflection"
310,SP05-ETL_220604_OG47_None_0606-F212-00,P1120536,NA,
311,SP05-ETL_YY0630_CR06_None_0621-F213-00,P1120590,P1120593,last pic missing measurment
312,SP05-ETL_YY0630_CR06_None_0621-F214-00,P1120599,NA,light
313,SP05-ETL_YY0630_CR06_None_0621-F215-00,P1120602,P1120603,"light, shadows,2nd pic missing"
314,SP05-ETL_YY0630_CR06_None_0621-F216-00,P1120604,NA,shadow
315,SP05-ETL_YY0630_CR06_None_0621-F217-00,P1120605,NA,flash
316,SP05-ETL_YY0630_CR06_None_0621-F218-00,P1120608,NA,
317,SP05-ETL_YY0630_CR06_None_0621-F218-00,P1120609,NA,
318,SP05-ETL_YY0630_CR06_None_0621-F218-00,P1120610,NA,
319,SP05-ETL_YY0630_CR06_None_0621-F219-00,P1120611,NA,
320,SP05-ETL_YY0630_CR06_None_0621-F220-00,P1120612,NA,
321,SP05-ETL_YY0630_CR06_None_0621-F221-00,P1120613,NA,
322,SP05-ETL_YY0630_CR06_None_0621-F222-00,P1120614,NA,
324,SP05-ETL_YY0630_CR06_None_0621-F222-00,P1120615,NA,
325,SP05-ETL_YY0630_CR06_None_0621-F223-00,P1120616,NA,
326,SP05-ETL_YY0705_CR04_None_0662-F224-00,P1120980,NA,
327,SP05-ETL_YY0705_CR04_None_0662-F225-00,P1120981,NA,
328,SP05-ETL_YY0705_CR04_None_0662-F226-00,P1120982,NA,
329,SP05-ETL_YY0705_CR04_None_0662-F227-00,P1120983,NA,
330,SP05-ETL_YY0705_CR04_None_0662-F227-00,P1120984,NA,
331,SP05-ETL_YY0705_CR04_None_0662-F227-00,P1120985,NA,
332,SP05-ETL_YY0705_CR04_None_0662-F228-00,P1120987,NA,
333,SP05-ETL_YY0705_CR04_None_0662-F228-00,P1120988,NA,
334,SP05-ETL_YY0705_CR04_None_0662-F229-00,P1120989,NA,
335,SP05-ETL_YY0705_CR04_None_0662-F229-00,P1120990,NA,
336,SP05-ETL_YY0705_CR04_None_0662-F230-00,P1120991,NA,
337,SP05-ETL_YY0705_CR04_None_0662-F231-00,P1120993,NA,
338,SP05-ETL_YY0705_CR04_None_0662-F232-00,P1120994,NA,
339,SP05-ETL_YY0705_CR04_None_0662-F233-00,P1120996,NA,
340,SP05-ETL_YY0705_CR04_None_0662-F234-00,P1120997,NA,
341,SP05-ETL_YY0705_CR04_None_0662-F235-00,P1120998,NA,
342,SP05-ETL_YY0705_CR04_None_0662-F235-00,P1120999,NA,
343,SP05-ETL_YY0705_CR04_None_0662-F236-00,P1130001,NA,
344,SP05-ETL_YY0705_CR04_None_0662-F236-00,P1130002,NA,
345,SP05-ETL_YY0705_CR04_None_0662-F236-00,P1130003,NA,
346,SP05-ETL_YY0705_CR04_None_0662-F237-00,P1130004,NA,
